Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
481,"4,792.00","6,553.04","8,961.25","12,156.54","16,529.05","22,222.00","29,591.43","39,204.73","49,660.41","60,774.63","70,226.60","77,045.11","82,134.28","86,009.76","89,746.36","93,439.22","96,110.86","94,637.23","90,837.66","89,159.47","86,529.52","86,551.30","85,929.99","86,729.18","87,639.28","88,412.70","91,119.82","91,646.21","89,992.38","90,574.42","85,178.67"
482,"4,792.00","6,569.10","9,005.24","12,233.94","16,505.17","22,233.04","29,590.05","39,002.24","49,226.12","58,860.57","67,588.33","75,258.82","78,535.11","84,809.92","84,065.94","85,538.25","82,632.46","82,293.09","81,339.22","79,673.62","81,947.21","82,679.64","83,033.22","86,098.12","83,682.24","83,345.46","79,713.58","78,696.46","75,446.86","75,479.24","76,227.96"
483,"4,792.00","6,565.04","8,994.10","12,274.92","16,556.35","22,311.44","29,890.54","39,159.59","50,072.01","58,976.29","67,893.60","75,002.74","78,370.13","84,264.10","85,924.56","85,716.24","88,857.37","89,197.25","91,469.95","90,735.21","90,194.24","87,714.31","87,784.88","85,036.11","86,659.48","83,097.92","83,790.33","80,864.98","81,755.14","81,094.16","83,805.38"
484,"4,792.00","6,558.90","8,977.28","12,258.58","16,608.73","22,202.33","29,700.89","38,707.66","49,064.81","60,589.38","67,880.78","75,891.98","81,240.63","83,378.44","86,713.12","84,873.29","85,731.65","85,184.50","85,100.13","85,147.29","83,151.81","81,042.37","81,628.07","81,288.21","83,020.15","85,618.69","84,083.35","83,538.88","83,102.43","83,653.71","85,269.20"
485,"4,792.00","6,557.53","8,973.55","12,255.25","16,540.47","22,274.37","29,717.47","38,834.24","49,886.08","59,489.19","69,825.53","74,986.94","79,451.20","80,728.62","83,966.14","84,888.61","85,142.18","87,357.73","86,844.52","88,460.28","85,951.09","87,154.19","86,211.54","85,636.17","87,572.73","86,505.84","85,805.88","86,576.35","86,572.73","84,436.17","82,773.97"
486,"4,792.00","6,537.11","8,917.74","12,142.24","16,440.05","22,128.87","29,191.95","38,118.11","46,740.10","55,002.91","62,438.19","69,507.76","75,623.87","82,749.11","85,021.94","85,546.54","84,209.46","80,135.85","78,149.08","77,257.70","75,792.95","76,678.59","77,915.55","78,660.17","78,840.44","81,785.15","80,640.68","81,140.72","82,941.72","82,877.31","83,639.39"
487,"4,792.00","6,553.79","8,963.31","12,220.06","16,506.56","22,142.70","29,348.60","37,932.09","47,303.12","56,828.80","65,231.98","72,950.61","79,964.30","84,205.10","87,749.03","91,145.13","90,334.01","92,506.11","89,044.03","89,592.27","85,613.80","84,506.37","82,793.57","81,708.17","83,665.98","84,300.85","87,375.95","89,500.64","89,545.43","92,082.24","91,551.12"
488,"4,792.00","6,545.01","8,939.32","12,200.88","16,503.82","22,106.15","29,285.09","37,962.30","48,043.63","58,476.00","69,429.38","80,070.20","84,297.11","88,414.87","86,819.10","87,309.12","84,843.59","83,041.63","82,728.02","80,705.88","78,881.12","77,735.64","76,779.00","75,332.33","76,815.08","78,910.79","78,595.61","81,141.24","81,669.57","80,288.78","82,988.39"
489,"4,792.00","6,562.35","8,986.75","12,237.21","16,643.05","22,426.82","29,848.63","39,397.22","50,249.24","62,016.53","73,938.53","81,553.58","86,665.72","89,952.67","89,861.30","89,924.92","89,595.43","89,639.67","89,231.58","91,402.02","88,892.94","90,610.52","89,481.94","90,970.76","91,102.00","89,369.97","89,960.76","89,808.92","87,844.72","89,993.30","89,248.56"
490,"4,792.00","6,564.29","8,992.04","12,277.95","16,694.49","22,555.60","29,946.29","38,921.80","48,623.54","58,272.69","65,617.67","73,840.23","76,261.13","80,148.18","81,281.96","83,353.17","82,953.86","83,595.01","84,703.33","85,964.28","87,916.67","89,063.09","90,376.84","89,431.06","89,285.91","88,481.16","84,999.80","84,742.90","84,066.59","85,928.06","87,354.29"
491,"4,792.00","6,556.69","8,971.25","12,251.04","16,644.89","22,416.91","29,679.17","39,096.95","48,541.43","59,640.17","68,907.46","77,039.04","83,330.81","85,313.50","88,035.00","88,096.92","87,025.32","86,396.49","82,551.64","82,771.08","82,496.73","82,894.92","86,221.61","85,052.78","86,210.84","87,168.95","86,059.76","87,225.36","85,303.23","85,084.38","84,176.08"
492,"4,792.00","6,568.48","9,003.53","12,283.12","16,643.05","22,343.14","29,469.75","38,209.16","47,161.90","55,978.77","63,477.08","70,231.39","74,993.56","79,311.57","81,875.43","82,408.94","84,286.99","83,061.16","85,675.95","85,932.70","88,635.52","89,762.99","91,073.23","92,890.51","90,333.25","91,442.44","90,907.68","90,954.67","92,789.20","89,723.63","89,089.36"
493,"4,792.00","6,564.12","8,991.58","12,289.69","16,611.90","22,393.30","30,016.99","39,441.04","50,789.59","61,816.19","72,341.62","80,308.04","84,793.77","89,060.09","87,126.41","86,573.41","86,838.78","85,627.31","87,997.20","89,912.78","92,341.81","94,023.75","94,112.61","93,497.03","93,215.23","91,237.53","87,779.85","86,379.59","84,518.74","84,313.40","84,284.31"
494,"4,792.00","6,548.28","8,948.25","12,227.47","16,528.47","22,175.40","29,499.40","38,191.90","48,234.54","57,069.72","64,886.72","71,167.58","76,186.95","80,372.17","82,373.54","85,679.92","86,849.99","87,834.77","86,286.05","83,747.75","80,966.33","79,444.10","79,327.88","79,211.27","81,613.58","81,289.18","82,411.59","83,643.92","84,308.18","85,200.53","86,593.55"
495,"4,792.00","6,549.97","8,952.86","12,205.57","16,513.32","22,320.94","29,591.85","38,807.75","48,437.88","57,770.00","66,584.85","72,491.40","77,884.56","82,477.47","83,222.07","87,203.78","88,154.72","90,554.74","93,266.25","91,360.70","88,770.99","87,154.71","84,933.16","85,605.26","86,764.88","88,053.94","89,568.77","90,806.34","90,661.99","89,499.45","89,651.50"
496,"4,792.00","6,554.60","8,965.53","12,249.29","16,608.35","22,360.18","29,621.77","38,411.24","47,380.42","56,125.88","64,951.86","73,039.62","81,053.14","83,645.17","87,388.66","89,001.13","87,718.19","86,437.75","83,589.50","80,192.98","78,431.33","76,324.25","76,678.14","78,048.94","79,797.91","80,467.27","79,845.01","79,464.37","78,170.46","80,903.09","79,270.81"
497,"4,792.00","6,563.86","8,990.86","12,284.19","16,576.20","22,385.83","29,871.21","39,321.90","49,181.39","59,513.64","68,631.50","73,937.20","81,923.19","84,730.72","89,059.90","92,279.63","93,833.99","96,264.15","97,612.94","97,442.00","97,170.78","92,756.45","88,997.42","87,781.41","86,672.33","88,651.62","89,282.90","91,171.00","88,237.27","89,777.53","86,862.31"
498,"4,792.00","6,549.60","8,951.84","12,166.55","16,480.80","22,126.95","29,533.63","38,547.42","49,326.06","59,558.16","69,858.63","78,603.68","85,699.90","87,328.75","86,965.05","82,935.47","79,037.72","75,309.82","73,529.30","74,119.44","73,530.80","75,622.53","77,535.44","80,481.85","83,463.57","87,854.47","87,466.53","91,013.54","90,140.49","92,743.15","90,144.75"
499,"4,792.00","6,556.47","8,970.64","12,191.86","16,536.44","22,321.22","29,778.53","38,860.87","49,423.20","58,753.59","68,672.03","74,157.39","81,183.68","83,008.08","83,881.81","85,538.95","85,163.82","84,907.65","87,331.92","85,069.09","86,029.08","83,660.21","82,411.15","80,507.47","80,819.81","82,221.26","83,524.91","84,361.05","84,660.96","82,813.98","82,353.24"
500,"4,792.00","6,571.66","9,012.25","12,307.63","16,700.49","22,357.74","29,477.28","38,067.36","46,603.84","55,416.10","64,230.40","70,870.51","78,894.36","84,541.69","86,633.49","89,698.51","89,077.78","87,731.15","84,935.04","82,424.64","82,006.23","81,008.86","83,281.86","81,147.54","82,445.81","81,572.00","80,312.83","82,490.72","83,626.06","85,208.53","87,473.41"
501,"4,792.00","6,547.30","8,945.55","12,216.01","16,529.69","22,223.47","29,496.48","38,291.56","48,422.43","58,082.92","66,822.05","75,647.31","78,967.07","81,607.32","83,013.51","82,011.97","81,204.85","79,842.46","80,535.84","78,705.63","81,004.67","80,960.87","82,717.23","82,703.88","83,135.41","81,988.81","79,735.15","80,575.91","79,898.61","82,438.94","84,868.67"
502,"4,792.00","6,565.62","8,995.70","12,251.91","16,591.95","22,262.70","29,760.22","39,179.81","49,960.53","61,811.72","72,108.18","81,628.64","87,547.27","90,059.01","89,864.02","86,242.61","83,719.80","82,791.92","81,910.15","84,858.78","86,898.77","88,404.10","90,743.35","89,339.28","90,455.54","86,461.45","87,791.78","87,011.01","89,064.99","91,484.68","94,060.17"
503,"4,792.00","6,566.65","8,998.51","12,260.55","16,559.02","22,222.42","29,602.44","38,306.48","48,864.03","58,106.41","66,621.52","73,271.64","78,756.78","83,232.70","87,118.00","90,354.98","89,451.16","88,906.68","89,087.36","86,736.54","87,331.34","87,793.15","89,284.78","92,035.96","91,317.54","90,740.84","87,816.29","84,983.05","83,908.21","83,320.70","84,286.06"
504,"4,792.00","6,572.46","9,014.44","12,316.62","16,626.53","22,357.98","29,860.46","39,334.65","49,652.77","60,505.63","70,136.79","79,580.35","87,195.74","90,698.90","94,444.19","90,408.50","88,451.57","82,793.87","81,330.70","79,531.13","78,797.40","79,621.16","77,020.53","78,797.39","78,123.01","81,184.15","84,069.28","84,144.29","86,952.81","87,171.76","89,042.51"
505,"4,792.00","6,545.57","8,940.84","12,183.77","16,410.67","22,170.47","29,671.62","38,489.80","49,307.12","59,243.61","69,489.91","78,415.46","82,970.37","86,793.11","86,061.74","85,958.30","86,484.73","84,216.35","84,991.07","84,319.03","86,014.93","86,059.24","85,174.54","83,238.94","82,603.39","79,758.48","80,295.51","77,987.91","76,974.26","76,685.10","75,811.04"
506,"4,792.00","6,554.23","8,964.51","12,184.72","16,503.85","22,231.84","29,723.90","39,362.36","50,618.38","61,304.56","71,623.42","79,500.09","84,133.39","87,028.09","89,501.07","87,811.71","90,150.19","89,422.85","87,500.69","87,023.70","83,617.02","81,797.62","80,908.17","81,539.12","83,391.98","84,952.61","84,011.00","83,361.32","81,321.55","82,054.54","82,650.03"
507,"4,792.00","6,570.76","9,009.77","12,270.69","16,521.03","22,243.52","29,478.82","38,465.80","48,654.01","58,084.63","68,967.45","75,919.14","81,790.34","84,776.10","87,488.34","90,065.58","90,970.77","90,235.72","87,572.10","84,451.76","83,813.02","84,323.07","84,377.26","84,196.17","83,773.99","84,310.72","85,122.39","83,749.85","84,205.81","82,784.38","82,480.99"
508,"4,792.00","6,569.47","9,006.24","12,231.85","16,589.07","22,323.07","29,636.16","38,595.62","47,879.30","57,298.63","63,750.07","72,257.98","77,928.99","81,618.39","85,093.38","87,444.34","85,582.91","88,602.46","85,255.83","86,456.76","84,103.86","85,733.75","87,087.33","89,262.08","91,315.94","89,290.13","89,923.11","86,396.85","88,162.04","87,784.56","87,681.79"
509,"4,792.00","6,563.68","8,990.38","12,248.85","16,556.97","22,368.99","29,784.91","39,174.33","49,615.00","58,871.16","68,966.88","73,701.97","79,486.50","82,740.88","85,114.30","85,340.95","87,232.12","87,696.38","90,280.51","88,290.34","87,530.65","86,573.05","86,064.06","86,638.19","89,200.22","90,310.96","88,784.49","90,624.75","86,139.67","87,944.03","87,599.47"
510,"4,792.00","6,568.42","9,003.36","12,263.63","16,547.39","22,048.88","29,486.76","38,233.66","48,970.64","58,994.28","67,205.19","74,150.34","79,630.51","85,015.75","86,546.00","88,550.64","84,698.13","83,241.71","80,882.59","81,148.81","82,868.82","85,056.53","88,553.30","91,348.40","91,577.12","94,243.85","92,570.77","93,090.01","90,250.70","86,731.29","82,734.73"
511,"4,792.00","6,559.03","8,977.65","12,189.03","16,579.37","22,411.87","29,996.95","39,536.98","50,666.02","61,421.90","70,492.67","77,981.41","81,870.56","86,874.38","88,331.76","92,089.97","92,568.96","94,394.04","94,964.43","91,360.87","90,349.01","87,969.14","87,685.30","85,001.49","86,014.71","81,937.33","82,479.65","79,764.82","80,460.82","81,707.72","83,517.98"
512,"4,792.00","6,546.51","8,943.39","12,179.72","16,468.95","22,018.12","29,067.18","37,974.36","47,283.27","58,052.18","67,319.16","73,569.25","79,988.33","83,955.91","85,026.37","88,116.97","87,845.51","87,176.96","86,352.98","83,442.11","83,976.17","83,340.81","82,058.58","84,313.42","84,255.59","86,197.38","85,942.84","84,782.46","81,988.42","80,528.43","78,780.08"
513,"4,792.00","6,570.54","9,009.19","12,279.89","16,674.22","22,494.69","29,924.96","39,572.49","50,303.25","60,124.80","69,599.00","76,162.88","78,406.31","80,531.40","79,203.07","80,387.10","80,812.72","80,377.52","82,235.20","80,467.50","81,513.52","80,951.16","81,008.38","83,034.31","80,813.49","84,405.14","85,212.95","84,592.84","88,248.80","87,277.96","86,347.17"
514,"4,792.00","6,559.45","8,978.80","12,197.27","16,570.14","22,207.58","29,713.50","38,423.83","49,433.60","59,076.63","67,520.78","76,588.77","80,661.59","87,475.07","89,159.05","90,520.07","92,199.75","89,094.49","91,159.29","90,142.90","87,916.88","85,687.22","80,841.63","76,758.42","76,633.57","76,639.17","78,025.10","82,073.18","84,035.70","84,460.23","84,152.71"
515,"4,792.00","6,550.86","8,955.28","12,141.16","16,481.30","22,085.46","29,512.96","38,229.58","48,738.49","59,053.58","68,842.17","78,367.03","84,537.97","88,429.59","90,021.45","91,843.00","89,131.95","88,686.08","87,916.58","83,762.12","85,795.58","84,398.21","86,918.91","86,925.22","90,075.17","89,463.33","87,633.83","88,013.56","87,181.13","88,606.68","87,502.11"
516,"4,792.00","6,551.20","8,956.22","12,184.58","16,438.56","22,172.23","29,410.17","38,527.32","48,407.25","58,795.45","66,948.31","73,335.12","76,328.33","77,488.60","80,657.72","81,996.97","82,543.76","81,424.86","79,728.06","77,835.40","78,815.73","80,688.55","82,981.00","84,894.83","85,647.70","85,563.06","83,514.94","84,938.50","84,629.99","86,140.30","88,949.19"
517,"4,792.00","6,573.70","9,017.84","12,295.63","16,690.39","22,547.09","30,129.94","39,582.92","50,206.72","61,054.12","68,896.57","78,240.32","80,337.49","83,493.81","85,274.37","83,804.58","85,357.03","84,406.28","85,854.43","84,092.18","86,129.35","86,521.35","88,815.23","90,150.57","89,629.02","88,200.16","85,924.52","83,224.44","80,825.34","81,296.14","78,572.52"
518,"4,792.00","6,571.63","9,012.16","12,264.60","16,518.34","22,213.55","29,510.26","39,069.71","49,739.58","59,744.43","70,020.56","76,810.93","80,779.47","83,921.39","85,330.45","86,807.63","87,682.62","89,220.06","86,423.59","86,938.66","82,664.81","80,293.46","79,441.27","77,057.03","77,411.01","78,657.21","78,175.10","80,080.36","81,145.34","80,370.16","82,637.49"
519,"4,792.00","6,566.54","8,998.22","12,290.15","16,612.92","22,419.67","29,657.50","39,247.37","48,989.65","60,827.10","71,037.90","81,135.55","84,918.67","87,289.40","87,058.99","85,825.11","87,309.75","84,403.74","83,978.23","82,034.09","81,595.89","82,640.96","84,649.72","85,005.57","85,666.81","86,155.27","86,561.62","87,999.73","86,397.42","87,720.90","84,459.67"
520,"4,792.00","6,572.80","9,015.37","12,281.11","16,636.93","22,407.28","29,952.82","39,669.62","50,114.22","60,436.75","69,820.07","75,998.94","83,554.56","87,924.39","92,882.55","96,096.78","97,847.46","98,240.08","98,025.97","97,864.55","93,736.57","94,641.91","88,420.42","87,307.57","81,880.60","81,927.19","80,304.81","80,059.96","78,679.72","79,377.44","79,074.17"
521,"4,792.00","6,545.13","8,939.63","12,159.40","16,429.22","21,933.61","29,173.35","37,697.14","47,771.30","58,199.69","67,886.91","74,865.81","81,575.85","83,640.56","84,044.13","85,948.84","84,359.89","87,032.80","87,418.55","86,492.74","84,474.21","83,065.73","82,578.28","84,130.95","86,328.26","88,001.81","89,497.76","89,671.94","89,383.10","88,490.05","86,406.54"
522,"4,792.00","6,568.21","9,002.80","12,267.55","16,619.16","22,406.87","29,558.50","38,908.63","47,466.00","58,168.14","66,372.76","74,632.48","80,943.74","85,751.99","89,045.50","90,745.87","92,373.10","92,681.76","91,103.64","88,047.92","86,102.46","83,429.40","82,039.12","82,318.88","81,177.13","82,624.16","80,860.06","81,956.21","79,066.64","77,225.93","74,461.42"
523,"4,792.00","6,566.65","8,998.52","12,264.74","16,549.91","22,284.98","29,396.23","38,360.39","47,071.48","57,138.63","64,887.75","73,227.70","76,634.20","81,512.28","83,521.31","87,848.12","89,186.54","92,033.27","89,100.69","89,474.04","88,352.23","86,280.13","88,429.96","85,783.12","85,657.06","85,400.08","86,239.61","86,204.24","88,610.02","86,915.14","84,569.51"
524,"4,792.00","6,558.83","8,977.09","12,245.47","16,476.92","22,260.44","29,732.77","39,249.94","50,215.12","61,238.90","72,490.60","79,086.48","85,645.37","86,361.92","85,555.02","85,872.84","82,054.37","83,271.52","81,389.82","83,341.97","84,771.33","85,039.00","86,605.79","85,722.86","84,262.49","84,221.21","83,328.13","85,223.99","83,253.33","84,047.45","84,310.14"
525,"4,792.00","6,548.28","8,948.25","12,219.40","16,502.64","22,184.90","29,418.15","38,611.60","48,953.32","59,940.18","71,334.40","79,289.88","85,720.98","86,072.58","85,696.57","86,400.72","84,603.07","86,970.91","85,667.25","85,790.13","82,331.21","80,867.91","80,048.77","80,259.81","83,291.96","81,968.85","84,601.82","82,422.75","81,885.16","83,319.90","81,275.61"
526,"4,792.00","6,553.70","8,963.06","12,174.11","16,485.70","22,096.70","29,497.24","38,628.37","49,653.08","60,078.96","71,567.22","79,954.70","85,076.09","91,197.86","91,189.90","94,469.96","94,442.72","95,311.26","91,374.44","89,694.59","86,291.49","85,286.00","83,277.91","85,313.16","85,014.25","83,990.08","82,070.24","82,068.40","79,092.41","80,800.54","78,671.36"
527,"4,792.00","6,562.03","8,985.86","12,262.58","16,558.23","22,261.90","29,300.51","38,556.18","47,429.76","58,270.45","66,921.61","75,984.96","82,790.53","87,279.61","92,152.40","93,394.77","92,980.00","93,518.82","89,596.17","89,712.51","88,342.48","85,480.05","84,468.05","81,512.44","78,755.80","76,894.07","74,871.74","76,530.09","74,831.78","79,197.82","81,095.92"
528,"4,792.00","6,540.17","8,926.09","12,179.78","16,507.95","22,092.60","29,468.88","38,667.00","48,330.08","58,301.78","66,325.77","71,244.91","76,111.95","78,391.12","78,566.73","81,051.00","82,667.02","85,734.91","87,532.79","90,121.95","89,538.54","87,996.68","86,107.63","84,667.84","82,502.08","81,256.15","81,982.25","81,534.53","80,386.89","82,971.46","82,152.10"
529,"4,792.00","6,547.34","8,945.66","12,201.70","16,422.61","22,168.62","29,417.07","38,601.64","48,621.25","59,514.86","67,754.46","75,308.63","80,140.54","83,644.32","88,003.39","87,328.89","86,644.30","86,522.23","84,750.17","86,705.23","87,661.89","88,428.14","90,330.61","91,853.40","92,598.69","93,745.90","91,830.61","93,015.56","89,092.97","90,207.88","85,177.00"
530,"4,792.00","6,562.55","8,987.29","12,212.33","16,546.66","22,236.51","29,662.08","39,155.31","49,713.48","61,108.24","71,419.25","81,308.63","86,020.60","91,649.07","91,808.97","94,281.69","92,560.61","92,333.59","89,260.71","88,508.91","87,092.75","87,930.22","87,190.12","89,036.73","89,500.42","88,977.94","89,209.13","87,088.26","87,932.44","87,107.33","85,097.55"
531,"4,792.00","6,551.47","8,956.95","12,154.56","16,444.15","22,154.93","29,612.07","38,840.86","49,939.23","59,332.30","70,611.45","78,448.37","85,717.69","92,068.00","94,916.58","95,133.16","93,248.89","92,246.11","91,402.08","90,733.99","89,110.88","89,112.43","84,538.48","85,733.68","85,284.98","83,554.89","86,482.93","86,084.46","85,134.76","87,020.74","83,200.88"
532,"4,792.00","6,544.92","8,939.05","12,162.01","16,510.61","22,001.11","29,130.99","37,746.28","47,629.71","57,845.20","67,387.37","72,681.22","77,428.46","81,243.28","84,797.10","86,353.66","87,502.09","84,315.96","81,998.56","79,519.75","77,449.16","77,799.91","79,474.12","80,822.61","81,318.02","80,408.08","77,763.93","77,545.96","76,557.77","77,804.26","76,705.66"
533,"4,792.00","6,548.59","8,949.08","12,181.87","16,521.29","22,319.14","29,806.31","39,296.95","50,552.47","60,075.52","69,105.70","74,952.28","79,115.49","83,125.25","85,058.54","88,516.71","89,008.31","91,026.86","90,650.47","88,031.69","88,022.49","83,992.02","85,975.91","82,669.83","81,904.49","81,307.29","80,242.86","82,916.73","85,621.85","87,426.74","91,464.03"
534,"4,792.00","6,552.76","8,960.48","12,161.90","16,464.78","22,097.00","29,110.99","38,258.67","46,509.77","55,794.58","63,164.37","69,881.97","76,165.10","81,564.60","85,059.69","87,994.95","86,105.36","84,507.98","83,750.80","79,840.94","81,929.78","81,178.95","80,896.18","83,216.74","82,975.95","84,902.95","85,899.57","84,327.32","85,385.57","84,482.40","83,919.95"
535,"4,792.00","6,567.46","9,000.74","12,287.36","16,610.14","22,250.04","29,429.68","38,078.70","47,517.85","56,828.95","67,162.69","75,924.83","81,555.76","85,441.34","87,663.24","88,887.13","88,476.56","87,897.37","86,225.21","86,541.18","87,709.93","85,938.98","88,610.38","83,892.89","83,012.39","81,280.40","77,645.34","79,301.90","77,319.07","79,710.11","78,453.65"
536,"4,792.00","6,560.82","8,982.53","12,235.22","16,538.98","22,336.70","29,403.88","38,835.04","47,739.89","58,223.14","67,890.72","75,963.25","82,379.04","86,431.22","89,885.55","91,170.76","93,981.17","95,156.22","92,594.81","93,668.42","91,415.67","88,747.59","86,918.98","82,066.67","80,649.62","78,994.35","77,274.07","76,226.97","73,988.26","74,501.84","73,951.49"
537,"4,792.00","6,567.27","9,000.23","12,266.26","16,683.65","22,427.86","29,893.26","39,490.36","49,674.38","60,004.36","67,647.66","72,599.47","75,658.49","77,583.54","79,377.79","80,591.32","80,846.32","82,468.51","82,683.97","84,133.44","86,201.90","87,081.44","86,028.72","83,424.75","82,282.61","80,906.17","82,467.37","84,996.62","84,354.46","86,680.04","83,698.20"
538,"4,792.00","6,569.08","9,005.18","12,254.40","16,646.66","22,369.17","29,783.26","38,887.39","48,930.48","58,640.77","68,224.60","74,926.86","82,738.86","87,185.72","90,318.02","91,926.89","90,204.38","90,768.68","89,272.11","91,234.16","92,184.32","93,515.33","93,011.96","89,599.87","88,477.53","84,821.12","85,894.57","86,638.15","88,873.65","91,774.82","89,540.42"
539,"4,792.00","6,571.08","9,010.65","12,294.81","16,598.64","22,433.45","30,041.20","39,357.68","50,710.05","60,980.06","71,366.22","77,936.02","82,636.55","85,262.38","86,279.18","85,626.09","87,356.34","87,124.65","89,810.62","89,488.03","89,821.63","87,117.37","85,929.65","84,907.76","86,279.70","85,201.57","88,360.75","86,185.93","86,398.90","83,301.23","80,625.97"
540,"4,792.00","6,571.05","9,010.58","12,309.93","16,737.00","22,557.22","30,023.92","38,829.82","49,006.59","57,186.55","66,386.38","72,644.44","78,139.11","83,112.30","82,962.64","86,200.04","85,762.03","87,610.65","88,256.26","90,774.17","89,584.18","91,790.36","91,130.84","89,429.86","89,276.65","89,139.31","87,074.47","88,181.78","86,823.41","87,925.17","88,513.13"
541,"4,792.00","6,559.60","8,979.21","12,205.34","16,554.24","22,356.84","29,646.61","38,612.59","47,477.43","57,409.75","65,841.12","75,153.68","82,826.22","86,824.48","89,768.26","89,250.25","90,144.49","90,856.14","92,549.15","93,059.32","94,541.83","95,031.12","91,366.81","88,674.32","85,244.74","81,623.25","79,993.91","78,266.77","77,441.10","79,064.30","81,367.59"
542,"4,792.00","6,559.22","8,978.18","12,212.20","16,454.87","22,137.32","29,346.49","38,296.87","47,880.74","57,492.47","67,512.61","74,164.62","81,368.86","85,083.06","88,899.69","92,752.18","92,860.20","95,417.33","93,398.30","92,022.36","91,513.68","91,181.79","90,393.30","89,352.38","87,207.82","86,533.81","83,474.96","85,251.71","85,795.16","88,318.35","88,482.69"
543,"4,792.00","6,564.61","8,992.94","12,252.27","16,528.86","22,336.85","29,808.44","38,789.78","49,647.78","58,670.12","67,270.24","72,343.24","76,808.77","80,235.58","83,126.57","85,118.57","84,979.44","86,777.95","86,775.70","88,666.21","88,790.45","90,664.51","89,861.23","91,991.95","90,857.16","89,222.10","85,612.48","83,564.14","82,484.82","84,066.08","84,193.13"
544,"4,792.00","6,573.56","9,017.47","12,224.96","16,593.27","22,416.33","29,969.82","39,123.10","50,458.81","60,233.91","69,032.00","76,268.44","78,239.59","81,389.41","81,992.53","83,774.50","83,998.52","86,064.60","85,453.76","84,932.32","86,326.09","85,097.44","85,103.41","84,338.02","82,791.16","81,388.36","81,309.83","79,060.73","79,940.74","80,400.69","80,955.06"
545,"4,792.00","6,535.02","8,912.04","12,162.50","16,466.13","22,222.64","29,305.85","38,685.92","47,315.78","58,284.18","66,699.38","74,070.17","79,182.47","82,962.73","82,539.47","83,599.27","84,780.55","84,409.49","87,724.56","89,237.57","92,041.32","93,007.30","91,613.46","89,337.87","86,220.98","85,966.95","85,560.99","86,979.18","89,044.29","90,659.52","92,901.65"
546,"4,792.00","6,562.27","8,986.52","12,239.98","16,612.51","22,131.49","29,118.46","37,180.64","45,641.83","53,889.14","63,356.52","69,644.75","78,611.86","82,415.42","85,087.49","84,018.04","84,564.99","84,467.26","86,218.92","88,429.53","86,732.70","88,109.86","87,373.11","88,283.06","86,984.22","86,152.59","83,514.01","82,759.75","81,022.60","82,768.50","83,936.13"
547,"4,792.00","6,571.41","9,011.56","12,269.43","16,689.14","22,275.04","29,490.23","37,999.47","47,766.33","58,447.05","69,040.19","76,439.82","81,531.74","83,474.91","84,704.24","84,881.72","85,405.07","86,049.09","83,359.64","83,438.42","79,759.03","80,908.30","79,188.94","79,708.06","80,774.69","79,632.72","79,721.21","79,414.84","79,988.02","80,767.05","83,133.78"
548,"4,792.00","6,571.69","9,012.34","12,300.50","16,586.30","22,328.63","29,777.12","39,033.93","50,002.19","59,816.99","69,644.63","78,123.00","83,898.23","87,791.55","89,956.46","88,320.98","88,496.60","85,177.95","83,653.33","80,189.85","78,538.75","79,270.65","79,440.95","81,495.99","82,235.81","82,513.94","80,789.83","80,838.07","78,013.24","79,643.67","77,449.27"
549,"4,792.00","6,560.33","8,981.20","12,190.94","16,582.18","22,244.41","29,809.72","38,861.77","48,939.88","59,255.59","66,548.84","76,022.65","80,578.58","85,909.02","89,540.06","90,045.55","89,581.16","87,833.53","83,358.76","83,237.41","82,842.44","85,192.90","88,572.26","89,525.15","92,803.15","90,489.77","88,729.61","85,832.78","82,786.83","81,954.55","82,475.05"
550,"4,792.00","6,570.12","9,008.03","12,311.22","16,689.68","22,520.02","29,864.53","39,471.96","49,116.88","60,586.73","70,582.53","77,157.31","85,447.74","87,470.38","91,289.34","92,491.61","91,479.16","90,452.47","88,160.52","87,471.98","84,558.08","84,414.50","84,074.57","84,210.14","86,477.46","85,452.75","84,798.60","84,502.24","81,707.98","82,093.56","79,229.27"
551,"4,792.00","6,539.55","8,924.40","12,167.92","16,547.19","22,132.41","29,581.14","38,414.82","49,340.35","59,586.86","69,058.28","76,783.02","79,252.08","83,880.09","86,079.89","89,799.88","90,031.48","90,638.73","90,010.59","89,429.85","88,318.78","86,396.09","84,463.92","80,469.87","80,697.38","77,436.85","78,430.59","76,350.11","77,942.55","77,233.19","78,672.39"
552,"4,792.00","6,533.91","8,909.02","12,148.66","16,498.97","22,122.68","29,280.22","38,545.18","48,129.85","59,319.32","68,090.94","75,048.49","79,136.49","82,276.56","84,298.92","87,781.94","90,077.57","92,071.47","90,753.98","88,091.48","85,561.88","83,167.27","80,140.14","81,742.69","81,087.31","80,917.64","81,751.47","80,802.69","80,933.61","79,579.94","79,662.92"
553,"4,792.00","6,555.80","8,968.80","12,173.44","16,535.57","22,110.10","29,340.13","37,875.11","47,565.41","56,864.38","66,580.58","74,359.69","82,229.27","85,196.49","89,254.45","88,381.51","90,586.75","89,189.39","91,080.51","91,019.15","91,483.74","90,229.95","90,106.18","90,228.50","90,027.04","89,537.13","88,299.02","85,731.06","83,821.03","80,071.00","79,912.47"
